Hero,key,Duo,Games,Winrate
Abathur,0,Chromie,21.0,0.45161290322580644
Abathur,0,Medivh,11.0,0.38095238095238093
Abathur,0,Guldan,31.0,0.5853658536585366
Abathur,0,Auriel,24.0,0.5
Abathur,0,Alarak,5.0,0.4666666666666667
Abathur,0,Zarya,3.0,0.5384615384615384
Abathur,0,Samuro,29.0,0.5897435897435898
Abathur,0,Varian,61.0,0.4647887323943662
Abathur,0,Ragnaros,17.0,0.5555555555555556
Abathur,0,Zuljin,46.0,0.4642857142857143
Abathur,0,Valeera,19.0,0.41379310344827586
Abathur,0,Lucio,55.0,0.46153846153846156
Abathur,0,Probius,1.0,0.5454545454545454
Abathur,0,Cassia,39.0,0.46938775510204084
Abathur,0,Genji,15.0,0.44
Abathur,0,DVa,31.0,0.4634146341463415
Abathur,0,Malthael,12.0,0.6363636363636364
Abathur,0,Stukov,24.0,0.35294117647058826
Abathur,0,Garrosh,30.0,0.55
Abathur,0,KelThuzad,8.0,0.4444444444444444
Abathur,0,Ana,20.0,0.5333333333333333
Abathur,0,Junkrat,10.0,0.55
Abathur,0,Alexstrasza,16.0,0.4230769230769231
Abathur,0,Hanzo,19.0,0.4827586206896552
Abathur,0,Blaze,12.0,0.5
Abathur,0,Maiev,3.0,0.38461538461538464
Abathur,0,Fenix,7.0,0.5294117647058824
Abathur,0,Deckard,21.0,0.5161290322580645
Abathur,0,Yrel,6.0,0.5625
Abathur,0,Whitemane,11.0,0.47619047619047616
Abathur,0,Mephisto,6.0,0.375
Abathur,0,MalGanis,26.0,0.4166666666666667
Abathur,0,Orphea,23.0,0.5151515151515151
Abathur,0,Imperius,21.0,0.5483870967741935
Abathur,0,Anduin,48.0,0.46551724137931033
Abathur,0,Qhira,13.0,0.4782608695652174
Abathur,0,Mei,36.0,0.5217391304347826
Abathur,0,Hogger,25.0,0.6857142857142857
Abathur,0,Deathwing,12.0,0.45454545454545453
Arthas,0,Abathur,29.0,0.4358974358974359
Arthas,0,Diablo,15.0,0.48
Arthas,0,ETC,8.0,0.3888888888888889
Arthas,0,Falstad,41.0,0.39215686274509803
Arthas,0,Gazlowe,29.0,0.5384615384615384
Arthas,0,Illidan,14.0,0.5833333333333334
Arthas,0,Kerrigan,16.0,0.5384615384615384
Arthas,0,Malfurion,32.0,0.47619047619047616
Arthas,0,Muradin,15.0,0.6
Arthas,0,Nazeebo,39.0,0.46938775510204084
Arthas,0,Nova,12.0,0.5
Arthas,0,Raynor,52.0,0.5645161290322581
Arthas,0,Hammer,7.0,0.47058823529411764
Arthas,0,Sonya,58.0,0.5441176470588235
Arthas,0,Stitches,6.0,0.375
Arthas,0,Tassadar,90.0,0.5
Arthas,0,Tyrael,2.0,0.5833333333333334
Arthas,0,Tyrande,27.0,0.6486486486486487
Arthas,0,Uther,41.0,0.5882352941176471
Arthas,0,Valla,46.0,0.5
Arthas,0,Zeratul,16.0,0.46153846153846156
Arthas,0,Tychus,81.0,0.6263736263736264
Arthas,0,Brightwing,112.0,0.5737704918032787
Arthas,0,LiLi,49.0,0.4576271186440678
Arthas,0,Murky,14.0,0.5833333333333334
Arthas,0,Zagara,20.0,0.5333333333333333
Arthas,0,Rehgar,27.0,0.5675675675675675
Arthas,0,Chen,10.0,0.6
Arthas,0,Anubarak,7.0,0.4117647058823529
Arthas,0,Azmodan,48.0,0.5517241379310345
Arthas,0,Jaina,59.0,0.5217391304347826
Arthas,0,Thrall,26.0,0.5
Arthas,0,Vikings,6.0,0.5625
Arthas,0,Sylvanas,40.0,0.5
Arthas,0,Kaelthas,70.0,0.5
Arthas,0,Johanna,12.0,0.6363636363636364
Arthas,0,Butcher,20.0,0.6666666666666666
Arthas,0,Leoric,26.0,0.6111111111111112
Arthas,0,Kharazim,33.0,0.46511627906976744
Arthas,0,Rexxar,14.0,0.4583333333333333
Arthas,0,Morales,25.0,0.4857142857142857
Arthas,0,Artanis,43.0,0.4528301886792453
Arthas,0,Cho,2.0,0.4166666666666667
Arthas,0,Gall,2.0,0.4166666666666667
Arthas,0,Lunara,43.0,0.5094339622641509
Arthas,0,Greymane,27.0,0.5135135135135135
Arthas,0,LiMing,80.0,0.4777777777777778
Arthas,0,Xul,27.0,0.5135135135135135
Arthas,0,Dehaka,9.0,0.42105263157894735
Arthas,0,Tracer,32.0,0.5714285714285714
Arthas,0,Chromie,47.0,0.5789473684210527
Arthas,0,Medivh,10.0,0.45
Arthas,0,Guldan,42.0,0.5192307692307693
Arthas,0,Auriel,42.0,0.4423076923076923
Arthas,0,Alarak,19.0,0.41379310344827586
Arthas,0,Zarya,9.0,0.42105263157894735
Arthas,0,Samuro,11.0,0.47619047619047616
Arthas,0,Varian,57.0,0.5671641791044776
Arthas,0,Ragnaros,50.0,0.55
Arthas,0,Zuljin,83.0,0.5806451612903226
Arthas,0,Valeera,10.0,0.55
Arthas,0,Lucio,61.0,0.352112676056338
Arthas,0,Probius,3.0,0.38461538461538464
Arthas,0,Cassia,58.0,0.4411764705882353
Arthas,0,Genji,16.0,0.38461538461538464
Arthas,0,DVa,39.0,0.5918367346938775
Arthas,0,Malthael,24.0,0.5
Arthas,0,Stukov,48.0,0.603448275862069
Arthas,0,Garrosh,7.0,0.47058823529411764
Arthas,0,KelThuzad,33.0,0.5813953488372093
Arthas,0,Ana,30.0,0.65
Arthas,0,Junkrat,13.0,0.391304347826087
Arthas,0,Alexstrasza,25.0,0.4857142857142857
Arthas,0,Hanzo,24.0,0.5
Arthas,0,Blaze,3.0,0.38461538461538464
Arthas,0,Maiev,10.0,0.4
Arthas,0,Fenix,16.0,0.6153846153846154
Arthas,0,Deckard,22.0,0.40625
Arthas,0,Yrel,9.0,0.42105263157894735
Arthas,0,Whitemane,12.0,0.5
Arthas,0,Mephisto,18.0,0.6071428571428571
Arthas,0,MalGanis,4.0,0.42857142857142855
Arthas,0,Orphea,41.0,0.5490196078431373
Arthas,0,Imperius,37.0,0.425531914893617
Arthas,0,Anduin,76.0,0.5697674418604651
Arthas,0,Qhira,19.0,0.3793103448275862
Arthas,0,Mei,10.0,0.65
Arthas,0,Hogger,16.0,0.5
Arthas,0,Deathwing,31.0,0.6829268292682927
Diablo,0,Abathur,88.0,0.5510204081632653
Diablo,0,Arthas,15.0,0.48
Diablo,0,ETC,4.0,0.42857142857142855
Diablo,0,Falstad,145.0,0.5225806451612903
Diablo,0,Gazlowe,130.0,0.4357142857142857
Diablo,0,Illidan,62.0,0.5972222222222222
Diablo,0,Kerrigan,36.0,0.43478260869565216
Diablo,0,Malfurion,111.0,0.47107438016528924
Diablo,0,Muradin,8.0,0.4444444444444444
Diablo,0,Nazeebo,130.0,0.39285714285714285
Diablo,0,Nova,58.0,0.47058823529411764
Diablo,0,Raynor,213.0,0.4663677130044843
Diablo,0,Hammer,21.0,0.5161290322580645
Diablo,0,Sonya,201.0,0.4976303317535545
Diablo,0,Stitches,6.0,0.5625
Diablo,0,Tassadar,286.0,0.4831081081081081
Diablo,0,Tyrael,3.0,0.38461538461538464
Diablo,0,Tyrande,73.0,0.5180722891566265
Diablo,0,Uther,148.0,0.5822784810126582
Diablo,0,Valla,181.0,0.5130890052356021
Diablo,0,Zeratul,51.0,0.5245901639344263
Diablo,0,Tychus,223.0,0.5150214592274678
Diablo,0,Brightwing,305.0,0.526984126984127
Diablo,0,LiLi,212.0,0.4099099099099099
Diablo,0,Murky,44.0,0.5370370370370371
Diablo,0,Zagara,49.0,0.4915254237288136
Diablo,0,Rehgar,96.0,0.4716981132075472
Diablo,0,Chen,32.0,0.40476190476190477
Diablo,0,Anubarak,4.0,0.42857142857142855
Diablo,0,Azmodan,137.0,0.4897959183673469
Diablo,0,Jaina,184.0,0.5309278350515464
Diablo,0,Thrall,123.0,0.43609022556390975
Diablo,0,Vikings,27.0,0.5675675675675675
Diablo,0,Sylvanas,149.0,0.4591194968553459
Diablo,0,Kaelthas,193.0,0.4827586206896552
Diablo,0,Johanna,4.0,0.5
Diablo,0,Butcher,90.0,0.43
Diablo,0,Leoric,104.0,0.5263157894736842
Diablo,0,Kharazim,109.0,0.4369747899159664
Diablo,0,Rexxar,51.0,0.639344262295082
Diablo,0,Morales,78.0,0.4772727272727273
Diablo,0,Artanis,174.0,0.42391304347826086
Diablo,0,Cho,2.0,0.5
Diablo,0,Gall,2.0,0.5
Diablo,0,Lunara,141.0,0.41721854304635764
Diablo,0,Greymane,119.0,0.4573643410852713
Diablo,0,LiMing,270.0,0.42142857142857143
Diablo,0,Xul,87.0,0.6082474226804123
Diablo,0,Dehaka,54.0,0.515625
Diablo,0,Tracer,71.0,0.4567901234567901
Diablo,0,Chromie,127.0,0.48175182481751827
Diablo,0,Medivh,23.0,0.2727272727272727
Diablo,0,Guldan,141.0,0.48344370860927155
Diablo,0,Auriel,85.0,0.4631578947368421
Diablo,0,Alarak,60.0,0.42857142857142855
Diablo,0,Zarya,25.0,0.4
Diablo,0,Samuro,26.0,0.5555555555555556
Diablo,0,Varian,138.0,0.47297297297297297
Diablo,0,Ragnaros,124.0,0.5223880597014925
Diablo,0,Zuljin,250.0,0.4846153846153846
Diablo,0,Valeera,47.0,0.38596491228070173
Diablo,0,Lucio,191.0,0.527363184079602
Diablo,0,Probius,8.0,0.4444444444444444
Diablo,0,Cassia,202.0,0.5094339622641509
Diablo,0,Genji,42.0,0.36538461538461536
Diablo,0,DVa,138.0,0.5
Diablo,0,Malthael,101.0,0.5045045045045045
Diablo,0,Stukov,147.0,0.5031847133757962
Diablo,0,Garrosh,4.0,0.5
Diablo,0,KelThuzad,82.0,0.4782608695652174
Diablo,0,Ana,92.0,0.45098039215686275
Diablo,0,Junkrat,53.0,0.5238095238095238
Diablo,0,Alexstrasza,68.0,0.46153846153846156
Diablo,0,Hanzo,73.0,0.42168674698795183
Diablo,0,Blaze,10.0,0.45
Diablo,0,Maiev,22.0,0.5
Diablo,0,Fenix,57.0,0.47761194029850745
Diablo,0,Deckard,103.0,0.4424778761061947
Diablo,0,Yrel,27.0,0.43243243243243246
Diablo,0,Whitemane,59.0,0.5072463768115942
Diablo,0,Mephisto,59.0,0.4782608695652174
Diablo,0,MalGanis,7.0,0.35294117647058826
Diablo,0,Orphea,121.0,0.4961832061068702
Diablo,0,Imperius,88.0,0.4387755102040816
Diablo,0,Anduin,222.0,0.39655172413793105
Diablo,0,Qhira,76.0,0.46511627906976744
Diablo,0,Mei,8.0,0.4444444444444444
Diablo,0,Hogger,75.0,0.5176470588235295
Diablo,0,Deathwing,83.0,0.4838709677419355
ETC,0,Abathur,30.0,0.35
ETC,0,Arthas,9.0,0.3684210526315789
ETC,0,Diablo,3.0,0.38461538461538464
ETC,0,Falstad,66.0,0.5
ETC,0,Gazlowe,68.0,0.5128205128205128
ETC,0,Illidan,28.0,0.3157894736842105
ETC,0,Kerrigan,20.0,0.5666666666666667
ETC,0,Malfurion,74.0,0.35714285714285715
ETC,0,Muradin,2.0,0.4166666666666667
ETC,0,Nazeebo,65.0,0.41333333333333333
ETC,0,Nova,24.0,0.4117647058823529
ETC,0,Raynor,122.0,0.42424242424242425
ETC,0,Hammer,20.0,0.43333333333333335
ETC,0,Sonya,126.0,0.41911764705882354
ETC,0,Stitches,5.0,0.4
ETC,0,Tassadar,168.0,0.4606741573033708
ETC,0,Tyrael,3.0,0.38461538461538464
ETC,0,Tyrande,37.0,0.5106382978723404
ETC,0,Uther,89.0,0.47474747474747475
ETC,0,Valla,104.0,0.38596491228070173
ETC,0,Zeratul,41.0,0.39215686274509803
ETC,0,Tychus,129.0,0.4244604316546763
ETC,0,Brightwing,225.0,0.5148936170212766
ETC,0,LiLi,88.0,0.41836734693877553
ETC,0,Murky,34.0,0.4318181818181818
ETC,0,Zagara,25.0,0.45714285714285713
ETC,0,Rehgar,63.0,0.5068493150684932
ETC,0,Chen,14.0,0.5
ETC,0,Anubarak,7.0,0.4117647058823529
ETC,0,Azmodan,65.0,0.44
ETC,0,Jaina,111.0,0.45454545454545453
ETC,0,Thrall,72.0,0.47560975609756095
ETC,0,Vikings,17.0,0.4444444444444444
ETC,0,Sylvanas,79.0,0.5168539325842697
ETC,0,Kaelthas,146.0,0.40384615384615385
ETC,0,Johanna,3.0,0.38461538461538464
ETC,0,Butcher,43.0,0.4716981132075472
ETC,0,Leoric,57.0,0.5074626865671642
ETC,0,Kharazim,45.0,0.4909090909090909
ETC,0,Rexxar,40.0,0.5
ETC,0,Morales,51.0,0.45901639344262296
ETC,0,Artanis,96.0,0.5188679245283019
ETC,0,Cho,2.0,0.4166666666666667
ETC,0,Gall,2.0,0.4166666666666667
ETC,0,Lunara,88.0,0.5204081632653061
ETC,0,Greymane,60.0,0.5571428571428572
ETC,0,LiMing,174.0,0.40217391304347827
ETC,0,Xul,58.0,0.47058823529411764
ETC,0,Dehaka,34.0,0.38636363636363635
ETC,0,Tracer,29.0,0.4358974358974359
ETC,0,Chromie,62.0,0.4027777777777778
ETC,0,Medivh,13.0,0.391304347826087
ETC,0,Guldan,78.0,0.3977272727272727
ETC,0,Auriel,57.0,0.44776119402985076
ETC,0,Alarak,33.0,0.5581395348837209
ETC,0,Zarya,22.0,0.5
ETC,0,Samuro,15.0,0.44
ETC,0,Varian,69.0,0.46835443037974683
ETC,0,Ragnaros,87.0,0.5670103092783505
ETC,0,Zuljin,179.0,0.5291005291005291
ETC,0,Valeera,33.0,0.3488372093023256
ETC,0,Lucio,119.0,0.40310077519379844
ETC,0,Probius,3.0,0.5384615384615384
ETC,0,Cassia,124.0,0.5298507462686567
ETC,0,Genji,26.0,0.5
ETC,0,DVa,88.0,0.46938775510204084
ETC,0,Malthael,62.0,0.3888888888888889
ETC,0,Stukov,75.0,0.4470588235294118
ETC,0,Garrosh,4.0,0.42857142857142855
ETC,0,KelThuzad,58.0,0.5147058823529411
ETC,0,Ana,57.0,0.5074626865671642
ETC,0,Junkrat,19.0,0.3793103448275862
ETC,0,Alexstrasza,42.0,0.5384615384615384
ETC,0,Hanzo,50.0,0.4
ETC,0,Blaze,4.0,0.6428571428571429
ETC,0,Maiev,17.0,0.5185185185185185
ETC,0,Fenix,28.0,0.4473684210526316
ETC,0,Deckard,53.0,0.36507936507936506
ETC,0,Yrel,14.0,0.5
ETC,0,Whitemane,49.0,0.4576271186440678
ETC,0,Mephisto,27.0,0.5135135135135135
ETC,0,MalGanis,1.0,0.45454545454545453
ETC,0,Orphea,119.0,0.5736434108527132
ETC,0,Imperius,52.0,0.4032258064516129
ETC,0,Anduin,141.0,0.47019867549668876
ETC,0,Qhira,49.0,0.4067796610169492
ETC,0,Mei,6.0,0.5
ETC,0,Hogger,52.0,0.5
ETC,0,Deathwing,48.0,0.4482758620689655
Falstad,0,Abathur,26.0,0.5555555555555556
Falstad,0,Arthas,39.0,0.40816326530612246
Falstad,0,Diablo,145.0,0.5161290322580645
Falstad,0,ETC,75.0,0.5411764705882353
Falstad,0,Gazlowe,55.0,0.4
Falstad,0,Illidan,20.0,0.6333333333333333
Falstad,0,Kerrigan,13.0,0.4782608695652174
Falstad,0,Malfurion,47.0,0.43859649122807015
Falstad,0,Muradin,134.0,0.4513888888888889
Falstad,0,Nazeebo,24.0,0.4411764705882353
Falstad,0,Nova,16.0,0.5384615384615384
Falstad,0,Raynor,19.0,0.4827586206896552
Falstad,0,Hammer,3.0,0.5384615384615384
Falstad,0,Sonya,82.0,0.42391304347826086
Falstad,0,Stitches,43.0,0.5283018867924528
Falstad,0,Tassadar,81.0,0.5494505494505495
Falstad,0,Tyrael,12.0,0.45454545454545453
Falstad,0,Tyrande,29.0,0.4358974358974359
Falstad,0,Uther,55.0,0.5692307692307692
Falstad,0,Valla,23.0,0.6363636363636364
Falstad,0,Zeratul,23.0,0.45454545454545453
Falstad,0,Tychus,50.0,0.55
Falstad,0,Brightwing,157.0,0.5568862275449101
Falstad,0,LiLi,74.0,0.5119047619047619
Falstad,0,Murky,10.0,0.4
Falstad,0,Zagara,17.0,0.6296296296296297
Falstad,0,Rehgar,43.0,0.4716981132075472
Falstad,0,Chen,7.0,0.47058823529411764
Falstad,0,Anubarak,42.0,0.4230769230769231
Falstad,0,Azmodan,36.0,0.43478260869565216
Falstad,0,Jaina,41.0,0.45098039215686275
Falstad,0,Thrall,34.0,0.4318181818181818
Falstad,0,Vikings,9.0,0.631578947368421
Falstad,0,Sylvanas,25.0,0.5142857142857142
Falstad,0,Kaelthas,58.0,0.36764705882352944
Falstad,0,Johanna,84.0,0.30851063829787234
Falstad,0,Butcher,21.0,0.5161290322580645
Falstad,0,Leoric,26.0,0.4166666666666667
Falstad,0,Kharazim,35.0,0.4444444444444444
Falstad,0,Rexxar,27.0,0.5675675675675675
Falstad,0,Morales,21.0,0.3548387096774194
Falstad,0,Artanis,63.0,0.4657534246575342
Falstad,0,Cho,5.0,0.5333333333333333
Falstad,0,Gall,5.0,0.5333333333333333
Falstad,0,Lunara,21.0,0.41935483870967744
Falstad,0,Greymane,18.0,0.5357142857142857
Falstad,0,LiMing,95.0,0.45714285714285713
Falstad,0,Xul,42.0,0.5384615384615384
Falstad,0,Dehaka,24.0,0.5294117647058824
Falstad,0,Tracer,6.0,0.375
Falstad,0,Chromie,48.0,0.4482758620689655
Falstad,0,Medivh,13.0,0.34782608695652173
Falstad,0,Guldan,42.0,0.4230769230769231
Falstad,0,Auriel,25.0,0.37142857142857144
Falstad,0,Alarak,13.0,0.6086956521739131
Falstad,0,Zarya,16.0,0.4230769230769231
Falstad,0,Samuro,9.0,0.3684210526315789
Falstad,0,Varian,84.0,0.5425531914893617
Falstad,0,Ragnaros,44.0,0.6111111111111112
Falstad,0,Zuljin,30.0,0.5
Falstad,0,Valeera,15.0,0.44
Falstad,0,Lucio,58.0,0.5
Falstad,0,Probius,2.0,0.5
Falstad,0,Cassia,39.0,0.4489795918367347
Falstad,0,Genji,7.0,0.4117647058823529
Falstad,0,DVa,62.0,0.6111111111111112
Falstad,0,Malthael,40.0,0.46
Falstad,0,Stukov,58.0,0.4852941176470588
Falstad,0,Garrosh,51.0,0.6065573770491803
Falstad,0,KelThuzad,20.0,0.5666666666666667
Falstad,0,Ana,41.0,0.43137254901960786
Falstad,0,Junkrat,6.0,0.5
Falstad,0,Alexstrasza,29.0,0.48717948717948717
Falstad,0,Hanzo,9.0,0.5789473684210527
Falstad,0,Blaze,20.0,0.4
Falstad,0,Maiev,11.0,0.38095238095238093
Falstad,0,Fenix,11.0,0.47619047619047616
Falstad,0,Deckard,36.0,0.43478260869565216
Falstad,0,Yrel,14.0,0.5
Falstad,0,Whitemane,26.0,0.4722222222222222
Falstad,0,Mephisto,15.0,0.48
Falstad,0,MalGanis,26.0,0.4722222222222222
Falstad,0,Orphea,40.0,0.52
Falstad,0,Imperius,34.0,0.5
Falstad,0,Anduin,102.0,0.42857142857142855
Falstad,0,Qhira,26.0,0.5
Falstad,0,Mei,88.0,0.5
Falstad,0,Hogger,37.0,0.5319148936170213
Falstad,0,Deathwing,29.0,0.38461538461538464
Gazlowe,0,Abathur,22.0,0.40625
Gazlowe,0,Arthas,29.0,0.48717948717948717
Gazlowe,0,Diablo,127.0,0.44525547445255476
Gazlowe,0,ETC,69.0,0.4936708860759494
Gazlowe,0,Falstad,54.0,0.375
Gazlowe,0,Illidan,15.0,0.6
Gazlowe,0,Kerrigan,10.0,0.5
Gazlowe,0,Malfurion,46.0,0.5178571428571429
Gazlowe,0,Muradin,126.0,0.5514705882352942
Gazlowe,0,Nazeebo,44.0,0.5185185185185185
Gazlowe,0,Nova,24.0,0.5
Gazlowe,0,Raynor,84.0,0.5957446808510638
Gazlowe,0,Hammer,12.0,0.5
Gazlowe,0,Sonya,13.0,0.6086956521739131
Gazlowe,0,Stitches,59.0,0.5362318840579711
Gazlowe,0,Tassadar,105.0,0.5739130434782609
Gazlowe,0,Tyrael,13.0,0.5217391304347826
Gazlowe,0,Tyrande,25.0,0.45714285714285713
Gazlowe,0,Uther,67.0,0.5584415584415584
Gazlowe,0,Valla,57.0,0.5373134328358209
Gazlowe,0,Zeratul,13.0,0.5217391304347826
Gazlowe,0,Tychus,103.0,0.5398230088495575
Gazlowe,0,Brightwing,124.0,0.47761194029850745
Gazlowe,0,LiLi,82.0,0.532608695652174
Gazlowe,0,Murky,5.0,0.6666666666666666
Gazlowe,0,Zagara,16.0,0.5
Gazlowe,0,Rehgar,42.0,0.4423076923076923
Gazlowe,0,Chen,4.0,0.6428571428571429
Gazlowe,0,Anubarak,47.0,0.5789473684210527
Gazlowe,0,Azmodan,41.0,0.5882352941176471
Gazlowe,0,Jaina,68.0,0.6153846153846154
Gazlowe,0,Thrall,8.0,0.5
Gazlowe,0,Vikings,13.0,0.4782608695652174
Gazlowe,0,Sylvanas,54.0,0.46875
Gazlowe,0,Kaelthas,89.0,0.5050505050505051
Gazlowe,0,Johanna,91.0,0.5445544554455446
Gazlowe,0,Butcher,24.0,0.5294117647058824
Gazlowe,0,Leoric,15.0,0.48
Gazlowe,0,Kharazim,46.0,0.5357142857142857
Gazlowe,0,Rexxar,6.0,0.5625
Gazlowe,0,Morales,24.0,0.4411764705882353
Gazlowe,0,Artanis,19.0,0.5862068965517241
Gazlowe,0,Cho,5.0,0.6
Gazlowe,0,Gall,5.0,0.6
Gazlowe,0,Lunara,58.0,0.5588235294117647
Gazlowe,0,Greymane,36.0,0.5434782608695652
Gazlowe,0,LiMing,89.0,0.5555555555555556
Gazlowe,0,Xul,15.0,0.56
Gazlowe,0,Dehaka,2.0,0.5833333333333334
Gazlowe,0,Tracer,26.0,0.6666666666666666
Gazlowe,0,Chromie,50.0,0.4666666666666667
Gazlowe,0,Medivh,10.0,0.4
Gazlowe,0,Guldan,42.0,0.5192307692307693
Gazlowe,0,Auriel,46.0,0.5178571428571429
Gazlowe,0,Alarak,16.0,0.5769230769230769
Gazlowe,0,Zarya,5.0,0.5333333333333333
Gazlowe,0,Samuro,10.0,0.55
Gazlowe,0,Varian,62.0,0.6388888888888888
Gazlowe,0,Ragnaros,15.0,0.48
Gazlowe,0,Zuljin,93.0,0.5436893203883495
Gazlowe,0,Valeera,18.0,0.6071428571428571
Gazlowe,0,Lucio,91.0,0.6831683168316832
Gazlowe,0,Probius,0.0,0.5
Gazlowe,0,Cassia,79.0,0.5842696629213483
Gazlowe,0,Genji,16.0,0.5384615384615384
Gazlowe,0,DVa,18.0,0.5357142857142857
Gazlowe,0,Malthael,13.0,0.5217391304347826
Gazlowe,0,Stukov,68.0,0.6153846153846154
Gazlowe,0,Garrosh,58.0,0.5588235294117647
Gazlowe,0,KelThuzad,40.0,0.56
Gazlowe,0,Ana,40.0,0.6
Gazlowe,0,Junkrat,13.0,0.4782608695652174
Gazlowe,0,Alexstrasza,18.0,0.42857142857142855
Gazlowe,0,Hanzo,28.0,0.4473684210526316
Gazlowe,0,Blaze,25.0,0.6571428571428571
Gazlowe,0,Maiev,11.0,0.47619047619047616
Gazlowe,0,Fenix,14.0,0.4583333333333333
Gazlowe,0,Deckard,30.0,0.55
Gazlowe,0,Yrel,3.0,0.6153846153846154
Gazlowe,0,Whitemane,34.0,0.5454545454545454
Gazlowe,0,Mephisto,19.0,0.4827586206896552
Gazlowe,0,MalGanis,42.0,0.5192307692307693
Gazlowe,0,Orphea,49.0,0.5254237288135594
Gazlowe,0,Imperius,27.0,0.40540540540540543
Gazlowe,0,Anduin,110.0,0.5583333333333333
Gazlowe,0,Qhira,24.0,0.35294117647058826
Gazlowe,0,Mei,83.0,0.5913978494623656
Gazlowe,0,Hogger,11.0,0.5714285714285714
Gazlowe,0,Deathwing,26.0,0.5
Illidan,0,Abathur,94.0,0.5576923076923077
Illidan,0,Arthas,15.0,0.6
Illidan,0,Diablo,63.0,0.5616438356164384
Illidan,0,ETC,30.0,0.35
Illidan,0,Falstad,20.0,0.6333333333333333
Illidan,0,Gazlowe,14.0,0.5833333333333334
Illidan,0,Kerrigan,5.0,0.5333333333333333
Illidan,0,Malfurion,18.0,0.5357142857142857
Illidan,0,Muradin,64.0,0.5135135135135135
Illidan,0,Nazeebo,12.0,0.5
Illidan,0,Nova,10.0,0.45
Illidan,0,Raynor,32.0,0.6904761904761905
Illidan,0,Hammer,7.0,0.35294117647058826
Illidan,0,Sonya,13.0,0.34782608695652173
Illidan,0,Stitches,14.0,0.5
Illidan,0,Tassadar,50.0,0.48333333333333334
Illidan,0,Tyrael,8.0,0.6666666666666666
Illidan,0,Tyrande,12.0,0.45454545454545453
Illidan,0,Uther,38.0,0.4375
Illidan,0,Valla,25.0,0.45714285714285713
Illidan,0,Zeratul,1.0,0.45454545454545453
Illidan,0,Tychus,35.0,0.4444444444444444
Illidan,0,Brightwing,58.0,0.4264705882352941
Illidan,0,LiLi,41.0,0.5490196078431373
Illidan,0,Murky,9.0,0.5789473684210527
Illidan,0,Zagara,10.0,0.4
Illidan,0,Rehgar,23.0,0.5757575757575758
Illidan,0,Chen,2.0,0.5
Illidan,0,Anubarak,22.0,0.40625
Illidan,0,Azmodan,18.0,0.5357142857142857
Illidan,0,Jaina,27.0,0.4594594594594595
Illidan,0,Thrall,7.0,0.47058823529411764
Illidan,0,Vikings,2.0,0.5
Illidan,0,Sylvanas,19.0,0.3793103448275862
Illidan,0,Kaelthas,32.0,0.47619047619047616
Illidan,0,Johanna,39.0,0.4489795918367347
Illidan,0,Butcher,10.0,0.4
Illidan,0,Leoric,2.0,0.5
